"Country","Region","Happiness.Score","Class","Mean.years.of.schooling","Carbon.Dioxide.Emissions.per.GDP","Change.Florest.Area","Gender.Inequality.Index","Child.malnutrition","Current.health.expenditure","Homicide.Rate","Net.migration.rate","Unemployment","Vulnerable.employment","Suicide.Rate","Contraceptive.prevalence","GDP.per.capita","Life.expectancy.at.birth","Median.age","Refugees.by.country.of.origin","Share.parliament.by.women"
"'Senegal'"," 'Sub-SaharanAfrica'",3.904,1,2.9,0.17,-11.9,0.542,18.8,4.4,0.3,-3.1,6.8,65.7,13.1,27.8,2966,66.7,18.1,17.2,42.7
"'Gabon'"," 'Sub-SaharanAfrica'",3.896,1,8.1,0.1,5.5,0.537,17,2.7,NA,11.2,20.3,31.4,9.95,31.1,15509,64.9,22.3,0.4,16
"'Niger'"," 'Sub-SaharanAfrica'",3.845,1,1.8,0.11,-41.9,0.668,48.5,7.1,NA,0.2,0.5,93.9,9.15,11,1131,60.6,14.9,3.1,13.3
"'Cambodia'"," 'SoutheasternAsia'",3.819,1,4.7,0.16,-27.9,0.483,32.4,6.2,NA,-2,0.4,52.3,6.1,56.3,3544,68.6,23.9,11.9,19
"'Tanzania'"," 'Sub-SaharanAfrica'",3.781,1,5.9,0.08,-18.3,0.565,31.8,3.6,7.3,-1,2.1,83.7,9.75,38.4,2354,63.1,17.6,0.9,36
"'Madagascar'"," 'Sub-SaharanAfrica'",3.681,1,6.1,NA,-9.1,NA,41.6,5.7,NA,-0.1,1.8,85.6,7.15,44.3,1547,65.5,18.7,0.3,20.5
"'CentralAfricanRepublic'"," 'Sub-SaharanAfrica'",3.678,1,4.2,NA,-1.8,NA,37.5,6.3,NA,-17.8,3.9,91.6,12.55,15.2,853,50.9,17.1,610.2,NA
"'Chad'"," 'Sub-SaharanAfrica'",3.667,1,2.3,NA,-29.2,0.714,39.8,4.5,NA,1.5,1.8,92.9,15.65,5.7,1857,53.1,16,11.2,14.9
"'Guinea'"," 'Sub-SaharanAfrica'",3.656,1,2.7,NA,-12.9,NA,30.3,5.8,NA,-5.4,4.4,90,10.8,10.9,2090,59.6,17.1,26.9,21.9
"'BurkinaFaso'"," 'Sub-SaharanAfrica'",3.587,1,1.4,NA,-22.7,0.619,24.9,5.8,0.6,-1.5,6.4,87.1,15.75,32.5,1935,59.9,17,11.7,9.4
"'Afghanistan'"," 'SouthernAsia'",3.575,1,3.6,NA,0,0.702,38.2,10.1,9.8,3.3,11.4,82.7,6.5,18.9,2213,63.4,17.2,2721.5,27.4
"'Rwanda'"," 'Sub-SaharanAfrica'",3.465,1,4,NA,53.1,0.412,38.3,6.5,2.6,-2,1.1,69,11.7,53.2,1889,67.5,19.4,246.7,57.5
"'Benin'"," 'Sub-SaharanAfrica'",3.34,1,3.5,0.26,-26,0.624,32.2,4,NA,-0.9,2.6,88.3,16.05,15.5,2946,60.6,18.2,0.7,7.2
"'Syria'"," 'MiddleEastandNorthernAfrica'",3.006,1,5.1,0.64,32.1,0.494,27.9,NA,NA,-54.7,8.5,32.7,2.45,53.9,NA,69.9,23.6,6599.3,12.4
"'Burundi'"," 'Sub-SaharanAfrica'",2.905,1,2.9,NA,-2.9,0.509,54,6.6,4.5,-1.5,1.6,94.6,15.2,28.5,825,60.1,17.1,381.5,37.8
"'Togo'"," 'Sub-SaharanAfrica'",2.839,1,4.6,0.18,-75.4,0.577,23.8,6.2,NA,-0.3,2.2,81.6,16.5,23.9,1447,59.9,18.8,8,17.6
